answer,tags,question,a,b,c,d,,,
b,"Criminal Law & Procedure,  Criminal Procedure","A department store had experienced a growing incidence of shoplifting. At the store’s request, the police concealed a female detective at a vantage point above the women’s apparel fitting rooms where she could see into these rooms, where customers tried on clothes. The detective saw a woman enter a fitting room, stuff a dress into her pocketbook, leave the fitting room, and start for the street door. By prearranged signal, the detective notified another police officer near the door, who detained the woman as the woman started to go out into the street. The woman was placed under arrest, and the dress was retrieved from her purse.The woman is charged with shoplifting.Her motion to prevent the introduction of the dress into evidence will be","granted, because the police should have secured a search warrant to search her bag.","granted, because a customer has a reasonable expectation of privacy while using a department store fitting room.","denied, because the search and seizure were made incident to a valid arrest based on probable cause.","denied, because the detective could see into the room and thus woman’s activities were legitimately in plain view.",,,
b,"Real Property,  Easements,  Covenants and Servitudes","A man and a woman own adjoining lots in the central portion of a city. Each of their lots had an office building. The woman decided to raze the existing building on her lot and to erect a building of greater height. The woman has received all governmental approvals required to pursue her project.There is no applicable statute or ordinance (other than those dealing with various approvals for zoning, building, etc.).After the woman had torn down the existing building, she proceeded to excavate deeper. The woman used shoring that met all local, state and federal safety regulations, and the shoring was placed in accordance with those standards.The man notified the woman that cracks were developing in the building situated on the man’s lot. The woman took the view that any subsidence suffered by the man was due to the weight of the man’s building, and correctly asserted that none would have occurred had the man’s soil been in its natural state. The woman continued to excavate.The building on the man’s lot did suffer extensive damage, requiring the expenditure of $750,000 to remedy the defects.Which of the following is the best comment concerning the man’s action to recover damages from the woman?","The woman is liable, because she removed necessary support from the man’s lot.","The woman cannot be held liable simply upon proof that support was removed, but may be held liable if negligence is proved.","Once land is improved with a building, the owner cannot invoke the common-law right of lateral support.","The woman’s only obligation was to satisfy all local, state and federal safety regulations.",,,
a,"Real Property,  Mortgages,  Foreclosure,  and Security","A man purchased a house that needed substantial repairs. The man financed the purchase of the house by borrowing funds from a bank. He signed a note to the bank and secured repayment of the loan with a mortgage. After purchasing the house, the man borrowed money from his credit union to make the repairs. The man signed a note to the credit union; this note was also secured by a mortgage on the house. Both mortgages were promptly recorded in the order granted. The man was personally liable on both loans.The man moved into the house and made the necessary repairs. He later defaulted on the debt to the bank, and the bank initiated judicial foreclosure proceedings, naming both the man and the credit union as parties to the action. An outside party acquired the house at the foreclosure sale.After the expenses of the sale and the balance due the bank have been paid, $5,000 remains in the sale proceeds. The outstanding balance of the credit union loan is $20,000. The man and the credit union both claim the $5,000.There is no applicable statute.Who is entitled to the $5,000?","The credit union, because the credit union has priority.","The credit union, because the man is personally liable on the debt.","The man, because of his equitable right of redemption.","The man, because the outside party received title to the house subject to the second mortgage.",,,
c,"Torts,  Negligence","A man operates a bank courier service that uses armored trucks to transport money and securities. One of the man's armored trucks was parked illegally, too close to a street intersection. A driver, driving his car at an excessive speed, skidded into the armored truck while trying to make a turn. The truck was not damaged, but the driver was injured.The driver has brought an action against the man to recover damages for his loss resulting from the accident. The jurisdiction follows a pure comparative negligence rule. In this action, the driver should recover:","nothing, because the man was not an active or efficient cause of the driver’s loss;","nothing, if the man was less negligent than the driver;","his entire loss, reduced by a percentage that reflects the negligence attributed to the driver;","his entire loss, because the man's truck suffered no damage.",,,
b,"Constitutional Law,  Individual Rights","To preserve the appearance and accessibility of its capitol building, a state enacted a law prohibiting ""the display of any sign on any portion of the public sidewalk surrounding"" the building.A group of five demonstrators who wanted to protest inadequate state funding for children's services applied for a permit to march single file on the sidewalk surrounding the capitol building. Each demonstrator planned to carry a two-foot-square sign that would read, ""Our lawmakers do not care about our children.”The group's permit application was denied pursuant to the state law, and the group has filed an action challenging the law's constitutionality.Should the court uphold the law's constitutionality?","No, because even though the sidewalk at issue is not a public forum, the prohibition against the display of signs is more restrictive than needed to serve a legitimate government interest.","No, because the sidewalk at issue is a public forum, and the prohibition against the display of signs is not narrowly tailored to serve a substantial government interest.","Yes, because even though the sidewalk at issue is a public forum, the prohibition against the display of signs is necessary to serve a compelling public interest.","Yes, because the sidewalk at issue is not a public forum, and the prohibition against the display of signs is reasonable.",,,
d,Civil Procedure,"A man successfully won a judgment for mishandling of his pension funds under ERISA against the pension administrator in Federal District Court. Judgment was entered on March 1. On April 2, the pension administrator filed a renewed motion for judgment and a motion for new trial, claiming that the trial court improperly determined the pension calculation formula. The court heard the motions on April 20, and denied them both, and entered a minute order reflecting denial of the motions that same day. On April 21, the man mailed a Notice of Ruling on the Motions, serving the pension administrator by mail. Upon receipt of the Notice of Ruling on April 23, the pension administrator filed a notice of appeal from the original judgment. The man moved to dismiss the appeal as untimely. The Court of Appeal should:",Deny the motion to dismiss because the pension administrator timely filed its appeal.,"Deny the motion to dismiss because, by serving the Notice of Ruling, the man waived any objection to a late filing of the Notice of Appeal.",Grant the motion to dismiss because the pension administrator failed to timely file its appeal.,Grant the motion to dismiss unless the court finds that the filing of the motions a few days late constituted excusable neglect.,,,
b,"Contracts,  Uniform Commercial Code","On March 15, in a signed written contract, a manufacturer agreed to sell 40,000 pens at $1 each to a retailer, delivery to be made in two equal installments on April 1 and May l. The contract was silent as to the time of payment, but on March 25 the two parties orally agreed that the entire purchase price was to be paid on delivery of the second installment.On April 1, the manufacturer delivered 20,000 pens, and the retailer accepted them. The manufacturer then demanded payment of $20,000. When the retailer refused to make the payment, the manufacturer sued the retailer for breach of contract. In its defense, the retailer proffered evidence of the March 25 oral agreement.Is the manufacturer likely to succeed in its action?","No, because even though the March 25 oral agreement is not effective, payment is due at the time of the second installment.","No, because the March 25 oral agreement was an effective modification of the written contract.","Yes, because the parol evidence rule bars the introduction of evidence of an oral agreement modifying a written contract.","Yes, because there was no consideration to support the modification.",,,
c,"Evidence,  Authentication/Best Evidence Rule",Plaintiff sues Defendant for breach of a promise made in a letter allegedly written by Defendant to Plaintiff. Defendant denies writing the letter. Which of the following would NOT be a sufficient basis for admitting the letter into evidence?,Testimony by Plaintiff that she is familiar with Defendant's signature and recognizes it on the letter.,Comparison by the trier of fact of the letter with an admitted signature of Defendant.,Opinion testimony of a nonexpert witness based upon familiarity acquired in order to authenticate the signature.,Evidence that the letter was written in response to one written by Plaintiff to Defendant.,,,
b,"Contracts,  Common Law Contracts",Will the man probably succeed in an action against the farmer for specific performance?,"Yes, because the court will excuse the delay in tender on the ground that there was a temporary impossibility caused by the tenant’s holding over.","Yes, because time is ordinarily not of the essence in a land-sale contract.","No, because the man breached by failing to tender the deed and possession on January 15.","No, because the man’s remedy at law for monetary relief is adequate.",,,
c,"Contracts,  Common Law Contracts","For this question only, make the following assumptions. On January 30, the farmer accepted a conveyance and possession of the tract and paid the $500,000 purchase price, but notified the man that he was reserving any rights he might have to damages caused by the man’s breach. The farmer intended to use the land for raising cattle and had entered into a contract for the purchase of 500 head of cattle to be delivered to the tract on January 15. Because he did not have possession of the tract on that date, he had to rent another pasture at a cost of $2,000 to graze the cattle for 15 days. The man had no reason to know that the farmer intended to use the tract for raising cattle or that he was purchasing cattle to be grazed on the tract.In an action by the farmer against the man for damages, the farmer is entitled to recover","nothing, because by paying the purchase price on January 30, he waived whatever cause of action he may have had.","nominal damages only, because the market value of the land exceeded the contract price.","$2,500 only (the fair rental value of the tract for 15 days).","$2,500 (the fair rental value of the tract for 15 days), plus $2,000 (the cost of grazing the cattle elsewhere for 15 days).",,,
a,"Real Property,  Easements,  Covenants and Servitudes","The owner of Blackacre and Whiteacre, two adjoining parcels, conveyed Whiteacre to a buyer and covenanted in the deed to the buyer that when he, the owner, sold Blackacre he would impose restrictive covenants to prohibit uses that would compete with the filling station that the buyer intended to construct and operate on Whiteacre. The deed was not recorded.The buyer constructed and operated a filling station on Whiteacre and then conveyed Whiteacre to operator, who continued the filling station use. The deed did not refer to the restrictive covenant and was promptly and properly recorded.The owner then conveyed Blackacre to a third party, who knew about the owner’s covenant with the buyer to impose a covenant prohibiting the filling station use but nonetheless completed the transaction when he noted that no such covenant was contained in the owner’s deed to him. The third party began to construct a filling station on Blackacre.The operator brought an appropriate action to enjoin the third party from using Blackacre for filling station purposes.If the operator prevails, it will be because",The third party had actual knowledge of the covenant to impose restrictions.,The third party is bound by the covenant because of the doctrine of negative reciprocal covenants.,Business-related restrictive covenants are favored in the law.,The third party has constructive notice of the possibility of the covenant resulting from the circumstances.,,,
b,"Torts,  Negligence","While walking on a public sidewalk, a man was struck by a piece of lumber that fell from the roof of owner's house. Owner had hired a contractor to make repairs to his roof, and the lumber fell through negligence on the contractor's part. If the man brings an action against the owner to recover damages for the injury caused to him by the contractor's negligence, will the man prevail?","Yes, under the res ipsa loquitur doctrine;","Yes, if the contractor's act was a breach of a nondelegable duty owed by the owner to the man;","No, if the contractor was an independent contractor rather than the owner's servant;","No, if the owner exercised reasonable care in hiring the contractor to do the repair work.",,,
c,"Real Property,  RE Contract Issues","An owner contracted to sell land to a purchaser. The written contract required the owner to provide evidence of marketable title of record, specified a closing date, stated that “time is of the essence,” and provided that at closing the owner would convey by warranty deed. The purchaser paid the owner $2,000 earnest money toward the $40,000 purchase price.The title evidence showed that an undivided one-eighth interest in the land was owned by the owner’s daughter. The purchaser immediately objected to title and said he would not close on the owner’s title. The owner responded, accurately, that his daughter would be trekking in Nepal until two weeks after the specified closing date. He said that she would gladly deed her interest upon her return, and that meanwhile his deed warranting title to all of the land would fully protect the purchaser. The owner duly tendered his deed but the purchaser refused to close.The purchaser brought an appropriate action to recover the $2,000 earnest money promptly after the specified closing date. The owner counterclaimed for specific performance, tendering a deed from himself and his daughter, who had by then returned.The court will hold for","The owner, because the daughter’s deed completing the transfer was given within a reasonable time.","The owner, because his warranty deed would have given the purchaser adequate interim protection.","The purchaser, because the owner’s title was not marketable and time was of the essence.","The purchaser, because under the circumstances the earnest money amount was excessive.",,,
c,"Criminal Law & Procedure,  Criminal Procedure","A defendant, a 14-year-old male, was tried as an adult for an armed robbery and was convicted. No one had been physically harmed during the robbery. In light of the defendant's lengthy juvenile criminal history, which included violent offenses, and the fact that armed robbery is a crime of violence, he was sentenced to life in prison without the possibility of parole.Did the life-without-parole sentence violate the Eighth Amendment ban on cruel and unusual punishment?","No, because a juvenile may be sentenced to life without parole if release would pose a danger to the community.","No, because the Eighth Amendment does not apply outside the context of capital punishment.","Yes, because a life-without-parole sentence is not permissible for a juvenile defendant convicted of a nonhomicide offense.","Yes, because a life-without-parole sentence is not permissible for an adult or juvenile defendant convicted of a nonviolent offense.",,,
d,"Torts,  Negligence","A woman, who played the lead role in a television soap opera, was seriously injured in an automobile accident caused by a man's negligent driving. As a consequence of the woman's injury, the television series was canceled, and a supporting actor was laid off.In an action against the man, can the supporting actor recover for his loss of income attributable to the accident?","Yes, because the man's negligence was the cause in fact of the supporting actor's loss;","Yes, unless the supporting actor failed to take reasonable measures to mitigate his loss;","No, unless the man should have foreseen that by injuring the woman he would cause harm to the supporting actor;","No, because the man's liability does not extend to economic loss to the supporting actor that arises solely from physical harm to the woman.",,,
a,"Contracts,  Uniform Commercial Code","On December 1, a broker contracted with a collector to sell her one of a certain type of rare coin for $12,000, delivery and payment to occur on the next March 1. To fulfill that contract, and without the collector’s knowledge, the broker contracted on January 1 to purchase for $10,000 a specimen of that type coin from a dealer, delivery and payment to take occur on February 1. The market price of such coins had unexpectedly fallen to $8,000 by February 1, when the dealer tendered the coin and the broker repudiated.On February 25, the market in such coins suddenly reversed and had stabilized at $12,000 on March 1. The broker, however, had failed to obtain a specimen of the coin and repudiated his agreement with the collector when she tendered the $12,000 agreed price on March 1. Later that day, after learning by chance of the broker’s dealing with the collector, the dealer telephoned the collector and said: “Listen, the broker probably owes me at least $2,000 in damages for refusing wrongfully to buy my coin for $10,000 on February 1 when the market was down to $8,000. But I’m in good shape in view of the market’s recovery since then, and I think you ought to get after the so-and-so.”If the collector immediately sues the broker for his breach of the broker-dealer contract, which of the following will the court probably decide?","The broker wins, because the collector, if a beneficiary at all of the broker-dealer contract, was only an incidental beneficiary.","The broker wins, because as of March 1, neither the dealer nor the collector had sustained any damage from the broker’s repudiation of both contracts.","The collector wins, because she was an intended beneficiary of the broker-dealer contract, under which damages for the broker’s repudiation became fixed on February 1.","The collector wins, because she took an effective assignment of the dealer’s claim for damages against the broker when the dealer suggested that the collector “get after the so-and-so.”",,,
a,"Evidence,  Hearsay","In a prosecution of Defendant for murdering Victim, Defendant testified that the killing had occurred in self defense when Victim tried to shoot him. In rebuttal, the prosecution seeks to call Victim's father, to testify that the day before the killing, Victim told her father that she loved Defendant so much she could never hurt him.Victim’s father's testimony is:",admissible within the hearsay exception for statements of the declarant's then existing state of mind.,"admissible, because Victim is unavailable as a witness.",inadmissible as hearsay not within any exception.,"inadmissible, because Victim's character is not an issue.",,,
c,"Civil Procedure,  Jurisdiction/Venue","Plaintiff, a citizen of Wisconsin, sued Defendant, a corporation, which was incorporated in Michigan and which Plaintiff reasonably believed had its principal place of business in Michigan as well, for damages for injuries suffered by Plaintiff arising from eating contaminated butter manufactured by Defendant. Plaintiff brought suit in Wisconsin state court, and Defendant removed the suit, based on diversity jurisdiction, to the Federal District Court in Wisconsin. Trial was held, and a verdict for Defendant was rendered. While the case was on appeal, Plaintiff learned that Defendant’s actual principal place of business—its corporate headquarters—was located in Eau Claire, Wisconsin. On a motion to remand the case to Wisconsin state court and vacate the federal trial court verdict:","The motion to remand will be granted, but the judgment will not be vacated.","The motion to remand will not be granted, since holding the trial waived the jurisdictional defect.","The motion to remand will be granted, and the judgment will be vacated.","The motion to remand will not be granted, but the judgment will be vacated.",,,
d,"Real Property,  Title,  Conveyancing,  Recording","A man owned land in fee simple. The small house on the land was occupied, with the man’s oral permission, rent-free, by the man’s son, and the son’s college classmate. The son was then 21 years old.The man, by properly executed instrument, conveyed the land to “my beloved son, his heirs and assigns, upon the condition precedent that he earn a college degree by the time he reaches the age of 30. If, for any reason, he does not meet this condition, then the land shall become the sole property of my beloved daughter, her heirs and assigns.” At the time of the conveyance, the son and the roommate attended a college located several blocks from the land. Neither had earned a college degree.One week after the delivery of the deed to the son, the son recorded the deed and immediately told the roommate that he, the son, was going to begin charging the roommate rent since “I am now your landlord.” There is no applicable statute. The son and roommate did not reach agreement, and the son served the appropriate notice to terminate whatever tenancy the roommate had. The son then sought, in an appropriate action, to oust the roommate.Who should prevail?","The son, because the conveyance created a fee simple subject to divestment in the son.","The son, because the man’s conveyance terminated the roommate’s tenancy.","The roommate, because the man’s permission to occupy preceded the man’s conveyance to the son.","The roommate, because the roommate is a tenant of the man, not of the son.",,,
c,"Real Property,  RE Contract Issues","A man owned a dwelling house situated on a two-acre lot in an area zoned for single-family residential uses only. Although it was not discernable from the outside, the house had been converted by the man from a single-family house to a structure that contained three separate apartments, in violation of the zoning ordinance. Further, the conversion was in violation of the building code.The man and a purchaser entered into a valid written contract for the purchase and sale of the house. The contract provided that the man was to convey to the purchaser a marketable title. The contract was silent as to zoning. The purchaser had fully inspected the house.Prior to the closing, the purchaser learned that the house did not conform to the zoning ordinance and refused to close although the man was ready, willing and able to perform his contract obligations. The man brought an appropriate action for specific performance against the purchaser.In that action, the man should","win, because the man was able to convey a marketable title.","win, because the purchaser was charged with knowledge of the zoning ordinance prior to entering the contract.","lose, because the illegal conversion of the house creates the risk of litigation.","lose, because the illegal conversion of the house was done by the man rather than by a predecessor.",,,
b,"Criminal Law & Procedure,  Crimes","A man was the general manager and chief executive officer of a knitting mill.The man delegated all operational decision making to the supervising manager of the mill. The child labor laws in the jurisdiction provide, “It is a violation of the law for one to employ a person under the age of 17 years for full-time labor.” Without the man’s knowledge, the supervising manager hired a number of 15- and 16-year-olds to work at the mill full time. He did not ask their ages and they did not disclose them. The supervising manager could have discovered their ages easily by asking for identification, but he did not do so because he was not aware of the law and believed that company policy was to hire young people.If the statute is interpreted to create strict liability and the supervising manager is charged with violating it, the supervising manager is","guilty, because he should have inquired as to the ages of the children.","guilty, because he hired the children.","not guilty, because in law the mill, not the supervising manager, is the employer of the children.","not guilty, because he believed he was following company policy and was not aware of the violation.",,,
d,"Criminal Law & Procedure,  Crimes","A woman was standing in the aisle of a subway car and put her purse on the seat next to her. A man approached the woman from behind and grabbed the purse off the seat. He then pushed the woman out of the way and ran out of the subway car while carrying the purse. The man was apprehended on the subway platform while in possession of the purse.In a jurisdiction that follows the common law with respect to criminal offenses, of what crime can the man properly be convicted?","Larceny, because force was not used until after he took the purse.","Larceny, because he made no threat to use force.","Robbery, because he physically took the purse from the woman's presence.","Robbery, because he used force in leaving with the purse.",,,
c,"Torts,  Negligence","A woman's three-year-old daughter was killed in an automobile accident. At the woman's direction, the daughter's body was taken to a mausoleum for interment. Normally, the mausoleum's vaults are permanently sealed with marble plates secured by ""tamper-proof' screws. After the daughter's body was placed in the mausoleum, however, only a fiberglass panel secured by caulking compound covered her vault. About a month later, the daughter's body was discovered in a cemetery located near the mausoleum. It had apparently been left there by vandals who had taken it from the mausoleum. As a result of this experience, the woman suffered great emotional distress.If the woman sues the mausoleum for the damages arising from her emotional distress, will she prevail?","No, because the woman experienced no threat to her own safety;","No, unless the mausoleum's behavior was extreme and outrageous;","Yes, if the mausoleum failed to use reasonable care to safeguard the body;","Yes, unless the woman suffered no physical harm as a consequence of her emotional distress.",,,
d,"Contracts,  Common Law Contracts","A man, a notorious spendthrift who was usually broke for that reason, received the following letter from his uncle, a wealthy and prudent man: “I understand you’re in financial difficulties again. I promise to give you $5,000 on your next birthday next month, but you’d better use it wisely or you’ll never get another dime from me.” The man thereupon signed a contract with a car dealer to purchase a $40,000 automobile and to make a $5,000 down payment on the day after his birthday.If the man sues his uncle for $5,000 after the latter learned of the car-purchase contract and then repudiated his promise, which of the following is the uncle’s best defense?",A promise to make a gift in the future is not enforceable.,Reliance by the promisee on a promise to make a future gift does not make the promise enforceable unless the value of the promised gift is substantially equivalent to the promisee’s loss by reliance.,Reliance by the promisee on a promise to make a future gift does not make the promise enforceable unless that reliance also results in an economic benefit to the promisor.,Reliance by the promisee on a promise to make a future gift does not make the promise enforceable unless injustice can be avoided only by such enforcement.,,,
a,"Constitutional Law,  Individual Rights","A woman belonged to an organization that advocated for the United States to preemptively attack certain foreign countries. The organization usually used leafleting and public speeches to advance this view, but it sometimes engaged in violent demonstrations against the embassies and consuls of those countries. Although the woman had never participated in a violent demonstration, she was criminally prosecuted for being a member of the organization. In her defense, the woman claimed that her association with the organization was protected by the First Amendment.Which of the following would the prosecution need to prove to overcome that defense?",The woman joined the organization with the specific intent of furthering its illegal activities.,The woman provided material aid to the organization through the payment of dues before the violent demonstrations.,The woman continued to provide material aid to the organization through the payment of dues after the violent demonstrations.,The woman expressed public support of the organization after the violent demonstrations.,,,
d,"Evidence,  Privileges","Defendant is on trial for the crime of obstructing justice by concealing records subpoenaed May 1, in a government investigation. The government calls Attorney to testify that on May 3, Defendant asked him how to comply with the regulations regarding the transfer of records to a safe-deposit box in Mexico.The testimony of Attorney is:","privileged, because it relates to conduct outside the jurisdiction of the United States.","privileged, because an attorney is required to keep the confidences of his clients.","not privileged, provided Attorney knew of the concededly illegal purpose for which the advice was sought.","not privileged, whether or not Attorney knew of the concededly illegal purpose for which the advice was sought.",,,
d,"Torts,  Negligence","A consumer entered a drug store to make some purchases. As he was searching the aisles for various items, he noticed a display card containing automatic pencils. The display card was on a high shelf behind a cashier's counter. The consumer saw a sign on the counter that read, ""No Admittance, Employees Only."" Seeing no clerks in the vicinity to help him, the consumer went behind the counter to get a pencil. A clerk then appeared behind the counter and asked whether she could help him. He said he just wanted a pencil and that he could reach the display card himself. The clerk said nothing further. While reaching for the display card, the consumer stepped sideways into an open shaft and fell to the basement, ten feet below. The clerk knew of the presence of the open shaft, but assumed incorrectly that the consumer had noticed it.The consumer sued the drug store to recover damages for the injuries he sustained in the fall. The jurisdiction has adopted a rule of pure comparative negligence, and it follows traditional common-law rules governing the duties of a land possessor.Will the consumer recover a judgment against the drug store?","No, because the consumer was a trespasser;","No, unless the consumer's injuries resulted from the defendant's willful or wanton misconduct;","Yes, because the premises were defective with respect to a public invitee;","Yes, if the clerk had reason to believe that the consumer was unaware of the open shaft.",,,
b,"Criminal Law & Procedure,  Crimes","A statute in the jurisdiction defines murder in the first degree as knowingly killing another person after deliberation. Deliberation is defined as “cool reflection for any length of time no matter how brief.” Murder in the second degree is defined as “all other murder at common law except felony-murder.” Felony-murder is murder in the third degree. Manslaughter is defined by the common law.At 2 a.m., a man held up an all-night liquor store using an assault rifle. During the holdup, two police cars with flashing lights drove up in front of the store. In order to create a situation where the police would hesitate to come into the store (and thus give the man a chance to escape out the back) the man fired several rounds through the front window of the store. The man then ran out the back but upon discovering another police car there, surrendered quietly. One of the shots he fired while in the store struck and killed a burglar who was stealing items from a closed store across the street.The most serious degree of criminal homicide the man is guilty of is",murder in the first degree.,murder in the second degree.,murder in the third degree.,manslaughter.,,,
c,"Evidence,  Relevance,  Opinion","Defendant is on trial for arson. In its case in chief, the prosecution offers evidence that Defendant had secretly obtained duplicate insurance from two companies on the property that burned and that Defendant had threatened to kill his ex-wife if she testified for the prosecution.The court should admit evidence of:",Defendant's obtaining duplicate insurance only.,Defendant's threatening to kill his ex-wife only.,both Defendant’s obtaining duplicate insurance and threatening to kill his ex-wife.,neither Defendant's obtaining duplicate insurance nor threatening to kill his ex-wife.,,,
a,"Civil Procedure,  Jurisdiction/Venue","A state passed a law denying certain state welfare benefits to persons unless they had resided in the state for six months “except for appropriate and necessary periods of absence.” Petitioner challenged the state law in Federal Court as unconstitutional in violation of the 14th Amendment Due Process and Privileges or Immunities Clauses. No state court has yet ruled on the constitutionality of the statute. The most proper course of action for the Federal Court, on proper and timely motion by the State, would be to:","Abstain from deciding the question, and certifying the issue of the interpretation of the phrase “except for appropriate and necessary periods of absence” to the state courts.",Dismiss the lawsuit as a violation of state sovereignty.,"Deny the motion, and decide the constitutionality of the state statute.",Appoint a special master to determine the meaning of the phrase “except for appropriate and necessary periods of absence.”,,,
a,"Contracts,  Common Law Contracts","A homeowner contracted in writing with a kitchen contractor to renovate her kitchen for $25,000, ""subject to the homeowner's complete personal satisfaction."" The contractor replaced the cabinets, flooring, and countertops and then sought payment from the homeowner. The homeowner paid the contractor only $20,000, truthfully saying that she did not like the finish on the cabinets and was therefore not satisfied.If the contractor sues the homeowner for the balance of the contract price, will the contractor be likely to prevail?","No, because a condition to the homeowner's obligation to pay was not satisfied.","No, because the contractor breached his duty of good faith and fair dealing by supplying unsatisfactory materials.","Yes, because the homeowner breached the covenant of good faith and fair dealing by rejecting the cabinets without justification.","Yes, because the homeowner was the first party to breach the contract.",,,
d,"Contracts,  Common Law Contracts","A wallpaper hanger sent a general contractor, this telegram:“Will do all paperhanging on new Doctors’ Building, per owner’s specs, for $14,000 if you accept within reasonable time after main contract awarded. Wallpaper Hanger”Three other competing hangers sent the contractor similar bids in the respective amounts of $18,000, $19,000 and $20,000. The contractor used the wallpaper hanger’s $14,000 figure in preparing and submitting her own sealed bid on Doctors’ Building. Before the bids were opened, the wallpaper hanger truthfully advised the contractor that the former’s telegraphic sub-bid had been based on a $4,000 computational error and was therefore revoked. Shortly thereafter, the contractor was awarded the Doctors’ Building construction contract and subsequently awarded with another paperhanger for a price of $18,000. The contractor now sues the wallpaper hanger to recover $4,000.Which of the following, if proved, would best support the wallpaper hanger’s defense?",(A)The contractor gave the wallpaper hanger no consideration for an irrevocable sub-bid.,(B)The wallpaper hanger’s sub-bid expressly requested the contractor’s acceptance after awarding of the main contract.,"Even after paying $18,000 for the paperhanging, the contractor would make a net profit of $100,000 on the Doctors’ Building contract.","Before submitting her own bid, the contractor had reason to suspect that the wallpaper hanger had made a computational mistake in figuring his sub-bid.",,,
c,"Evidence,  Impeachment of Witnesses","At trial in an action for personal injuries suffered in a traffic accident, the plaintiff first calls the defendant as an adverse party. The plaintiff then calls a witness who was a passenger in the plaintiff's car but who also happens to be the defendant's former employer. On direct examination, the witness testifies to how the accident occurred and also expresses his opinion that the defendant is not a truthful person.Which one of the following areas of questioning is most likely to be held beyond the proper scope of cross-examination?","In letters to prospective employers, the witness has described the defendant as very honest and dependable.",The defendant recently filed an action against the witness for breach of contract.,The plaintiff's injuries were not as serious as the plaintiff is claiming.,The witness has been falsifying his income tax returns.,,,
d,"Torts,  Products Liability/Strict Liability","A man was driving his new car along a dark road with the car's high-beam headlights on to illuminate the road. When he saw the headlights of another car appear in the distance, he reached to turn the high beams off. Instead of turning from high-beam to low-beam, the headlights on the car turned off completely. The man tried repeatedly to turn the lights on again but could not do so. He collided with the other car and suffered injuries.The man has brought an action against the manufacturer of the headlight controls in his car, the manufacturer of his car, and the retailer who sold him the car.If the man can establish that a defect in the controls caused the accident, from whom can he recover?",Only the manufacturer of the car and the retailer of the car.,Only the manufacturer of the car.,Only the manufacturer of the he adlight controls and the manufacturer of the car.,All three defendants.,,,
a,"Real Property,  RE Contract Issues","A man owned and occupied a tract of land improved with a one-family house. His friend orally offered the man $50,000 for the land, the fair market value, and the man accepted. Because they were friends, they saw no need for attorneys or written contracts and shook hands on the deal. The friend paid the man $5,000 down in cash and agreed to pay the balance of $45,000 at an agreed closing time and place.Before the closing, the friend inherited another home and asked the man to return his $5,000. The man refused, and, at the time set for the closing, the man tendered a good deed to the friend and declared his intention to vacate the land the next day. The man demanded that the friend complete the purchase. The friend refused. The fair market value of the land has remained $50,000.In an appropriate action brought by the man against the friend for specific performance, if the man loses, the most likely reason will be that",the agreement was oral.,"keeping the $5,000 is the man’s exclusive remedy.",The friend had a valid reason for not closing.,The man remained in possession on the day set for the closing.,,,
b,"Constitutional Law,  Powers","Small retailers located in a State are concerned about the loss of business to certain large retailers located nearby in bordering states. In an effort to deal with this concern, the legislature of the State enacted a statute requiring all manufacturers and wholesalers who sell goods to retailers in the State to do so at prices that are no higher than the lowest prices at which they sell them to retailers in any of the states that border the State. Several manufacturers and wholesalers who are located in states bordering the State and who sell their goods to retailers in those states and in the State bring an action in federal court to challenge the constitutionality of this statute.Which of the following arguments offered by these plaintiffs is likely to be most persuasive in light of applicable precedent?The state statute:",deprives them of their property or liberty without due process of law.,imposes an unreasonable burden on interstate commerce.,deprives them of a privilege or immunity of national citizenship.,denies them the equal protection of the laws.,,,
c,"Torts,  Trespass/Nuisance","A retired couple, had lived in their home in a residential neighborhood for 20 years when a family moved into the house next door and built a swimming pool in the back yard. The four young children in the family frequently played in the pool after school. They often were joined by other neighborhood children. The retired couple were in the habit of reading and listening to classical music in the afternoons. Sometimes they took naps. The boisterous sounds of the children playing in the pool disturbed the retired couple’s customary enjoyment of quiet afternoons.In the retired couple’s nuisance action for damages against the parents of the children, the retired couple should:","prevail, if the children's noise constituted a substantial interference with the retired couple’s use and enjoyment of their home;","prevail, because the retired couple’s interest in the quiet enjoyment of their home takes precedence in time over the family’s interests;","not prevail, unless the noise constituted a substantial and unreasonable disturbance to persons of normal sensibilities;","not prevail, because the children's interest in healthy play has priority over the retired couple’s interest in peace and quiet.",,,
c,"Evidence,  Authentication/Best Evidence Rule",Which of the following items of evidence is LEAST likely to be admitted without a supporting witness?,"In a libel action, a copy of a newspaper purporting to be published by Defendant Newspaper.","In a case involving contaminated food, a can label purporting to identify the canner as Defendant Company.","In a defamation case, a document purporting to be a memorandum from the Defendant Company president to ""All Personnel,"" printed on Defendant's letterhead.","In a case involving injury to a pedestrian, a pamphlet on stopping distances issued by the State Highway Department.",,,
d,"Civil Procedure,  Class Actions","A man is the named plaintiff in a Federal Court class action suit challenging a state’s parole procedure as lacking in due process. The class is certified, and has over 125 members. Six weeks before trial, the man is granted parole and released from prison. The state files a motion to dismiss the class action suit because, as the named plaintiff, the man’s suit is moot. The state’s motion should be:","Granted, because the man can no longer represent the class.","Granted, unless, within 10 days after the man’s release, the lawyer for the class designates a qualified new named party.","Denied, if within 15 days after the man’s release, the lawyer for the class designates a qualified new named party.",Denied.,,,
