answer,tags,question,a,b,c,d
b,"Civil Procedure, Jurisdiction/Venue","Plaintiff, a citizen of Iowa, filed suit in Federal Court in Iowa, and claims that Defendant, a citizen of Minnesota, breached a contract to provide Plaintiff with a proper assignment of riparian rights arising from Defendant’s ownership of land along the Kiowa River. Plaintiff’s first cause of action was for breach of contract, and her second cause of action was for violation of the Federal Riparian Rights Act, which guarantees certain rights to assignees of riparian rights. After six months, the Court granted Defendant a summary judgment on the second cause of action, after finding that Plaintiff was not an intended beneficiary of the statute. If Defendant moves to dismiss the first cause of action, the Court should probably:",Dismiss the first cause of action on grounds of collateral estoppel. ,Dismiss the first cause of action without prejudice for lack of subject matter jurisdiction.,Deny the motion because to dismiss the cause of action would cause the parties to expend additional time and funds in going to state court. ,Deny the motion because there is adequate supplemental pendent jurisdiction over the state claim.
d,Torts Products Liability/Strict Liability,"Based upon the foregoing facts, if the roommate sues the shampoo company to recover damages for his dermatitis, his most promising theory of liability will be that the No-Flake shampoo",had an unreasonably dangerous manufacturing defect. ,had an unreasonably dangerous design defect. ,was inherently dangerous.,was inadequately labeled to warn of its dangers. 
d,Torts Products Liability/Strict Liability,"If the roommate asserts a claim for his injuries against the shampoo company based on strict liability in tort, which of the following would constitute a defense?",The roommate misused the shampoo. ,The roommate misused the shampoo and the roommate was contributorily negligent in continuing to use No-Flake shampoo when his scalp began to hurt and itch. ,The roommate was contributorily negligent in continuing to use No-Flake shampoo when his scalp began to hurt and itch and the roommate was a remote user and not in privity with the shampoo company. ,None of the above.
a,"Torts, Negligence","If the roommate asserts a claim against the man for his dermatitis injuries, the man's best defense will be that",The roommate was contributorily negligent.,The roommate assumed the risk. ,"The man had no duty toward the roommate, who was a gratuitous donee. ","The man had no duty toward the roommate, because the shampoo company created the risk and had a nondelegable duty to foreseeable users. "
b,Civil Procedure,"County operates a toll road within its boundaries. Vehicles which drive past sensors on the toll road without a transponder that allows for automatic charging of the driver’s credit card account, or whose driver’s credit card has expired, are charged a toll. With each additional toll, drivers are charged a penalty amount, which escalates exponentially. It takes the County system about 30 days to send a bill to offending drivers. Plaintiff’s credit card was replaced, but he forgot to change the credit card on his toll road account. As a result, Plaintiff unknowingly incurred penalties and tolls until he received a mailed copy of a bill stating that, for the previous 25 days, he had been charged about $4,500.00. He soon learned that there were scores of other motorists in similar situations, many of whom had bills of $10,000 or more. Plaintiff engages a lawyer who contacts many of the other motorists, and the lawyer files a class action in Federal Court claiming that the County’s toll policy violates the Fourteenth Amendment Due Process Clause and the Eight Amendment prohibition on excessive fines. If Plaintiff files a motion to certify the plaintiffs as a class, the Court will:"," Grant the motion, unless there is a substantial disparity in the amounts of the toll penalties assessed among the class members. ","Grant the motion, so long as Plaintiff’s claim is typical in nature, if not amount, of the other class members, and Plaintiff’s attorney is experienced and competent in handling class actions. ","Deny the motion, because the difference in toll amounts means that the questions of fact are not common to the class. ","Deny the motion, unless there are more than 75 members of the class."
d,"Constitutional Law, Powers","A federal statute extends federal minimum wage requirements to all dry cleaning stores. The statute contains express findings that, when combined, the wages received by dry cleaning workers have a substantial impact on the national economy and on the flow of goods and services in interstate commerce. These findings are supported by information presented to Congress during committee hearings on the legislation. A small dry cleaning store operates exclusively within a community in the center of a geographically large state. It has no customers from outside the state. It employs three workers, each of whom is paid less than the federal minimum wage. Must this dry cleaning store comply with the statute imposing the federal minimum wage requirements on all dry cleaning stores?","No, because the store does no business in interstate commerce.","No, because the wages of the store's three workers do not have a substantial impact on interstate commerce.","Yes, because the commerce clause vests Congress with plenary legislative authority over labor relations.","Yes, because the wages paid by dry cleaning stores have a substantial impact on interstate commerce. "
b,"Real Property, Title, Conveyancing, Recording","The owner of land conveyed it by quitclaim deed as a gift to a friend, who did not then record her deed. Later, the owner conveyed the same land by warranty deed to a woman, who paid valuable consideration, knew nothing of friend’s claim, and promptly and properly recorded. Next, friend recorded her deed. Then the woman conveyed the land by quitclaim deed to her son as a gift. When the possible conflict with the friend was discovered, the son recorded his deed. The land at all relevant times has been vacant unoccupied land. The recording act of the jurisdiction provides: “No unrecorded conveyance or mortgage of real property shall be good against subsequent purchasers for value without notice, who shall first record.” No other statute is applicable. The son has sued the friend to establish who owns the land. The court will hold for","The son, because the friend was a donee.","The son, because the woman’s purchase cut off the friend’s rights.","The friend, because she recorded before the son.","The friend, because the son was a subsequent donee."
c,Civil Procedure,"A woman sues Defendant for fraudulently misrepresenting their gardening products. The woman claims that Defendant’s brochure contained deliberate false statements about the safety and efficacy of their product. At trial, the woman’s expert testifies that the brochure contained several errors which seriously understated the risk of the products to household pets and overstated their efficacy in reducing weeds. Defendant’s employees testify that these were simply good faith mistakes, and that there was no intent to defraud the woman. The jury returns a verdict for Defendant. The woman moves for a new trial on the ground that the jury’s verdict is not supported by the evidence. The woman’s motion will be:",Denied unless the trial judge concludes that no reasonable jury could have found as the jury did. ,"Denied unless, taking all the evidence and inferences in the light most favorable to Defendant, the verdict is against the great weight of the evidence. ","Granted if the trial judge is firmly convinced that Defendant’s witnesses are not credible, so that a verdict for Defendant is against the great weight of the evidence. ",Granted if the trial judge believes that the woman has established fraud by a preponderance of the evidence. 
d,"Criminal Law & Procedure, Criminal Procedure","A man was charged with first-degree murder. Two lawyers were appointed to represent him because the prosecution planned to seek the death penalty. On the first day of trial, the air-conditioning malfunctioned in the courtroom, so the judge directed that the selection of the jurors take place in his chambers. Because of the large number of potential jurors, the judge directed that only one lawyer for the prosecution and one for the defense participate in the jury selection process. The defendant remained in the courtroom during the questioning of the jurors. Once the jury was selected, the trial was postponed until the next day, when the air-conditioning was again working. Did the court's jury selection process violate the defendant's federal constitutional rights?","No, because a defendant's confrontation rights are limited to witnesses rather than jurors.","No, because there was good cause to conduct jury selection outside the defendant's presence. ","Yes, because excluding the defendant undercut the presumption of innocence.","Yes, because jury selection is a critical stage at which a defendant is entitled to be present. "
a,Civil Procedure,"A car manufacturer produced a car that was sold nationwide. Problems with the car's brakes allegedly caused several accidents and injuries. Two individual buyers of the car each filed a class action, in different states, against the manufacturer, asserting the same products liability claims on behalf of all buyers nationwide. One class action was filed in federal court and the other was filed in state court. The parties in the federal action reached a court- approved settlement, and the court entered judgment dismissing the action with prejudice. The manufacturer's attorney has moved to dismiss the state court action on the basis of res judicata (claim preclusion). Should the state court look to federal or state law to decide the effect of the judgment?","Federal law, because the judgment was entered in federal court.","Federal law, because the judgment was the result of a nationwide action governed by the federal class action rule. ","State law, because the judgment is being asserted in a state court.","State law, because there is no general federal common law and preclusion is a common law doctrine. "
a,"Evidence, Hearsay","Defendant is on trial for theft. At trial, the prosecutor called a married couple. They testified that, as they looked out their apartment window, they saw thieves across the street break the window of a jewelry store, take jewelry, and leave in a car. The wife telephoned the police and relayed to them the license number of the thieves' car as the husband looked out the window with binoculars and read it to her. Neither of them has any present memory of the number. The prosecutor offers as evidence a properly authenticated police tape recording of the wife's telephone call with her voice giving the license number, which is independently shown to belong to Defendant's car. The tape recording of the wife's stating the license number is","admissible, under the hearsay exception for present sense impressions. ","admissible, as non-hearsay circumstantial evidence. ","inadmissible, because it is hearsay not within any exception.","inadmissible, because the wife never had firsthand knowledge of the license number."
b,Torts Products Liability/Strict Liability,"Company was engaged in blasting operations to clear the way for a new road. The Company had erected adequate barriers and posted adequate warning signs in the vicinity of the blasting. Although Plaintiff read and understood the signs, he entered the area to walk his dog. As a result of the blasting, Plaintiff was hit by a piece of rock and sustained head injuries. The jurisdiction follows the traditional common-law rules governing the defenses of contributory negligence, assumption of risk, and last clear chance. In an action by Plaintiff against the Company to recover damages for his injuries, Plaintiff will","not prevail, if the Company exercised reasonable care to protect the public from harm. ","not prevail, because Plaintiff understood the signs and disregarded the warnings.","prevail, because Plaintiff was harmed by the Company’s abnormally dangerous activity. ","prevail, unless Plaintiff failed to use reasonable care to protect himself from harm. "
c,EvidenceImpeachment of Witnesses,"Plaintiff sued Church for damages he suffered when Plaintiff crashed his motorcycle in an attempt to avoid a cow that had escaped from its corral. The cow and corral belonged to a farm that had recently been left by will to the church. At trial, Plaintiff seeks to ask Defendant's witness whether she is a member of Church. The question is","improper, because evidence of a witness's religious beliefs is not admissible to impeach credibility.","improper, because it violates First Amendment and privacy rights.","proper, for the purpose of ascertaining partiality or bias.","proper, for the purpose of showing capacity to appreciate the nature and obligation of an oath."
c,"Constitutional Law, Powers","Radon is a harmful gas found in the soil of certain regions of the United States. A statute of a State requires occupants of residences with basements susceptible to the intrusion of radon to have their residences tested for the presence of radon and to take specified remedial steps if the test indicates the presence of radon above specified levels. The statute also provides that the testing for radon may be done only by testers licensed by a state agency. According to the statute, a firm may be licensed to test for radon only if it meets specified rigorous standards relating to the accuracy of its testing. These standards may easily be achieved with current technology; but the technology required to meet them is 50% more expensive than the technology required to measure radon accumulations in a slightly less accurate manner. The United States Environmental Protection Agency (EPA) does not license radon testers. However, a federal statute authorizes the EPA to advise on the accuracy of various methods of radon testing and to provide to the general public a list of testers that use methods it believes to be reasonably accurate. A recently established State firm uses a testing method that the EPA has stated is reasonably accurate. The firm is also included by the EPA on the list of testers using methods of testing it believes to be reasonably accurate. The firm applies for a State radon testing license, but its application is denied because the firm cannot demonstrate that the method of testing for radon it uses is sufficiently accurate to meet the rigorous State statutory standards. The firm sues appropriate the State officials in federal court claiming that the State may not constitutionally exclude the firm from performing the required radon tests in the State. In this suit, the court will probably rule in favor of","The firm, because the full faith and credit clause of the Constitution requires the State to respect and give effect to the action of the EPA in including the firm on its list of testers that use reasonably accurate methods. ","The firm, because the supremacy clause of the Constitution requires the State to respect and give effect to the action of the EPA in including the firm on its list of testers that use reasonably accurate methods. ","The State, because the federal statute and the action of the EPA in including the firm on its list of testers that use reasonably accurate methods are not inconsistent with the more rigorous the State licensing requirement, and that requirement is reasonably related to a legitimate public interest. ","The State, because radon exposure is limited to basement areas, which, by their very nature, cannot move in interstate commerce. "
d,"Contracts, Common Law Contracts","A young man who was an amateur computer prodigy agreed in writing to design for a distributor of TV game systems a total of three new games a year for a five-year period. The writing provided, in a clause separately signed by the young man, that “No modification shall be binding on Distributor unless made in writing and signed by Distributor’s authorized representative.” Because of family problems, the young man delivered and Distributor accepted only two game-designs a year for the first three years; but the games were a commercial success and Distributor made no objection. Accordingly, the young man spent substantial sums on new computer equipment that would aid in speeding up future design work. In the first quarter of the fourth year, however, Distributor terminated the contract on the ground that the young man had breached that annual-quantity term. In the young man’s suit against Distributor for damages, the jury found that the contract had been modified by conduct and the trial court awarded the young man substantial compensatory damages. Is the result likely to be reversed on appeal?","Yes, because the contract’s no-oral- modification clause was not expressly waived by Distributor."," Yes, because the contract’s no-oral- modification clause was a material part of the agreed exchange and could not be avoided without new consideration. ","No, because the contract’s no-oral- modification clause was unconscionable as against an amateur designer.","No, because Distributor by its conduct waived the annual-quantity term and the young man materially changed his position in reasonable reliance on that waiver. "
c,"Real Property, Zoning and Land Use","Ten years ago, a couple bought a building and moved into its second-floor apartment with their teenage daughter. The couple operated a shoe store on the first floor of the building for many years. When the couple purchased the building, the area was predominantly rural and was zoned for nonresidential use. The municipality's zoning is cumulative. Five years ago, the municipality rezoned the area to single-family residential use. The daughter was not aware of this change, since she was away at college. Recently, the daughter inherited the building from her parents. The daughter immediately moved into the apartment and took over the operation of the shoe store on the first floor. The daughter has learned that a developer is planning to build a large residential community in the area surrounding her building. The daughter has asked her lawyer for advice regarding her ability to continue operating the shoe store. Should the lawyer advise the daughter that she can continue to operate her shoe store?","No, because the nonconforming use of the building terminated when the daughter's parents died. ","No, but the municipality must pay her reasonable compensation for her loss resulting from the change in zoning. ","Yes, because the shoe store is a nonconforming use. ","Yes, because the zoning is cumulative and the building is also used for single-family residential purposes."
a,"Evidence, Character and Habit","A man has sued a police officer, alleging that the officer violated the man's civil rights by using excessive force while arresting him. At trial, the officer admits having hit the man in the head with the butt of his gun, but contends that the force was necessary, because the man was resisting arrest. In support of his contention, the officer seeks to introduce evidence that the man had resisted arrest on three prior occasions during the last 10 years. Is this testimony regarding the man's conduct during the three prior arrests admissible?","No, because evidence of the prior incidents constitutes impermissible character evidence. ","No, because the officer has not shown that the man was convicted in connection with the prior incidents. ","Yes, because the incidents in question are relevant evidence of the man’s propensity for violence.","Yes, because the incidents in question are sufficient to constitute a habit."
a,"Contracts, Common Law Contracts","A mechanic agreed in writing to make repairs to a landscaper's truck for $12,000. The mechanic properly made the repairs, but when the landscaper tendered payment, the mechanic refused to deliver the truck unless the landscaper promised to pay an additional $2,000. The customary charge for such work was $14,000. Because the landscaper needed the truck immediately to fulfill existing contractual obligations, and because no rental trucks of the same type were available, the landscaper promised in writing to pay the mechanic an additional $2,000. The mechanic then delivered the truck. Will the mechanic be able to enforce the landscaper's promise to pay the additional $2,000?","No, because the landscaper had no reasonable alternative but to yield to the mechanic's wrongful threat.","No, because the mechanic exerted undue influence over the landscaper with respect to the modification. ","Yes, because the landscaper could have obtained possession of the truck through legal action rather than by agreeing to the increased payment. ","Yes, because the modified contract price did not exceed a reasonable price. "
c,"Constitutional Law, Powers","The legislature of a State recently enacted a statute forbidding public utilities regulated by the State Public Service Commission to increase their rates more than once every two years. A public utility regulated by that commission has just obtained approval of the commission for a general rate increase. The utility has routinely filed for a rate increase every ten to 14 months during the last 20 years. Because of uncertainties about future fuel prices, the utility cannot ascertain with any certainty the date when it will need a further rate increase; but it thinks it may need such an increase sometime within the next 18 months. The utility files an action in the federal district court in the State requesting a declaratory judgment that this new statute of the State forbidding public utility rate increases more often than once every two years is unconstitutional. Assume no federal statute is relevant. In this case, the court should","hold the statute unconstitutional, because such a moratorium on rate increases deprives utilities of their property without due process of law. ","hold the statute constitutional, because the judgment of a legislature on a matter involving economic regulation is entitled to great deference. ","dismiss the complaint, because this action is not ripe for decision. ","dismiss the complaint, because controversies over state-regulated utility rates are outside of the jurisdiction conferred on federal courts by Article III of the Constitution. "
b,"Evidence, Policy Exclusions","Defendant is on trial for evading $100,000 in taxes. The prosecution offers in evidence an anonymous letter to the IRS, identified as being in Defendant's handwriting, saying, “I promised my mother on her deathbed I would try to pay my back taxes. Here is $10,000. I'll make other payments if you promise not to prosecute. Answer yes by personal ad saying, ‘OK on tax deal.’” The letter is","admissible, as a statement of present intention or plan.","admissible, as an admission of a party opponent.","inadmissible, because it is an effort to settle a claim.","inadmissible, because the probative value is substantially outweighed by the risk of unfair prejudice. "
a,"Contracts, Uniform Commercial Code","For this question only, assume the following facts. Having received Broker’s message on October 17, the dealer sued Broker on November 15 for the market value of a comparable replacement-coin as promised by Broker in February. The trial began on December 1. If Broker moves to dismiss the dealer’s complaint, which of the following is Broker’s best argument in support of the motion?","Broker did not repudiate the contract on October 17, and may still perform no later than the contract deadline of December 31. "," Even if Broker repudiated on October 17, the dealer’s only action would be for specific performance because the coin is a unique chattel. ","Under the doctrine of impossibility, which includes unusually burdensome and unforeseen impracticability, Broker is temporarily excused by the market conditions from timely performance of his coin-replacement obligation. ","Even if Broker repudiated on October 17, dealer has no remedy without first demanding in writing that Broker retract his repudiation. "
c,"Contracts, Uniform Commercial Code","For this question only, assume the following facts. After receiving Broker’s message on October 17, the dealer telephoned Broker, who said, “I absolutely will not replace your coin until the market drops far below its present level.” The dealer then sued Broker on November 15 for the market value of a comparable replacement-coin as promised by Broker in February. The trial began on December 1. If Broker moves to dismiss the dealer’s complaint, which of the following is the dealer’s best argument in opposing the motion?","The dealer’s implied duty of good faith and fair dealing in enforcement of the contract required her to mitigate her losses on the rising market by suing promptly, as she did, after becoming reasonably apprehensive of a prospective breach by Broker. ","Although the doctrine of anticipatory breach is not applicable under the prevailing view if, at the time of repudiation, the repudiatee owes the repudiator no remaining duty of performance, the doctrine applies in this case because the dealer, the repudiatee, remains potentially liable under an implied warranty that the coin advanced to Broker was genuine. ","When either party to a sale-of-goods contract repudiates with respect to a performance not yet due, the loss of which will substantially impair the value of the contract to the other, the aggrieved party may in good faith resort to any appropriate remedy for breach. ","Anticipatory repudiation, as a deliberate disruption without legal excuse of an ongoing contractual relationship between the parties, may be treated by the repudiatee at her election as a present tort, actionable at once. "
d,Real PropertyEstates in Land,"A woman acquired land by a deed that contained the following language in the grantee section: ""to [the woman], her heirs and assigns, provided, however, that said grantee may not transfer any interest in the land for 10 years from the date of this instrument."" Two years later, the woman contracted to sell the land to an investor for a price based on a recent appraisal. When the investor's title search revealed the above language in the grantee section of the deed to the woman, the investor refused to close the transaction. The contract was silent as to the woman's title obligation. The woman has sued the investor for specific performance. Who is likely to prevail?","The investor, because the woman cannot sell the land during the 10-year period specified in the deed.","The investor, because the woman's heirs did not join in the contract.","The woman, because the contract did not obligate her to provide marketable title.","The woman, because the deed's restraint on transfer is void as a matter of law."
b,"Evidence Relevance, Opinion","A plaintiff sued a utility company that owns a reservoir that is open to the public for recreation pursuant to a license from a federal agency. The plaintiff was severely injured in the reservoir when he dove from a boat into what he thought was deep water and hit an unmarked submerged island. The plaintiff alleges that the company was negligent in failing to mark the submerged island. At trial, the plaintiff has called an engineer and qualified him as an expert in managing reservoirs. Which of the following opinions by the plaintiff's expert is the court most likely to admit?","""The accident probably occurred in the manner shown by this computer-animated film I made.” ","""The company could have marked the island in a day and at a cost of $300.”",“The company was required by federal law to mark the island.”,"""The plaintiff was not contributorily negligent.”"
a,"Criminal Law & Procedure, Crimes","A man worked as the cashier in a restaurant. One night, after the restaurant had closed, the man discovered that the amount of cash in the cash register did not match the cash register receipt tapes. He took the cash and the tapes, put them in a bag, gave them to the manager of the restaurant, and reported the discrepancy. The manager immediately accused him of taking money from the register and threatened to fire him if he did not make up the difference. The manager placed the bag in the office safe. Angered by what he considered to be an unjust accusation, the man waited until the manager left the room and then reached into the still open safe, took the bag containing the cash, and left. The man is guilty of",larceny. ,embezzlement.,either larceny or embezzlement but not both.,neither larceny nor embezzlement. 
b,"Criminal Law & Procedure, Criminal Procedure","A grand jury returned an indictment charging Defendant with bank robbery, and when he could not make bond he was jailed pending trial. He had received Miranda warnings when arrested and had made no statement at that time. The prosecutor arranged to have an informant placed as Defendant’s cellmate and instructed the informant to find out about the bank robbery without asking any direct questions about it. The informant, once in the cell, constantly boasted about the crimes that he had committed. Not to be outdone, Defendant finally declared that he had committed the bank robbery with which he was charged. At Defendant’s trial, his attorney moved to exclude any testimony from Innis concerning Defendant’s boast. The motion should be","granted, because Defendant’s privilege against self-incrimination was violated.","granted, because Defendant’s right to counsel was violated.","denied, because Defendant had received Miranda warnings.","denied, because Defendant was not interrogated by the informant. "
a,"Evidence, Hearsay","Plaintiff sued Defendant for damages for the death of Plaintiff's husband, resulting from an automobile collision. At trial, Defendant calls the husband's doctor to testify that the day before his death, the husband, in great pain, said, ""It was my own fault; there's nobody to blame but me."" The doctor's testimony should be admitted as",a statement against interest. ,a dying declaration.,a statement of the husband's then existing state of mind. ,an excited utterance.
b,"Constitutional Law, Individual Rights","A clerical worker has been employed for the past two years in a permanent position in the County Public Records Office in a State. The clerical worker has been responsible for copying and filing records of real estate transactions in that office. The clerical worker works in a nonpublic part of the office and has no contact with members of the public. However, state law provides that all real estate records in that office are to be made available for public inspection. On the day an attempted assassination of the governor of the State was reported on the radio, the clerical worker remarked to a coworker, ""Our governor is such an evil man, I am sorry they did not get him."" The clerical worker's coworker reported this remark to the clerical worker's employer, the county recorder. After the clerical worker admitted making the remark, the county recorder dismissed him stating that ""there is no room in this office for a person who hates the governor so much."" The clerical worker sued for reinstatement and back pay. His only claim is that the dismissal violated his constitutional rights. In this case, the court should hold that the county recorder's dismissal of the clerical worker was"," unconstitutional, because it constitutes a taking without just compensation of the clerical worker's property interest in his permanent position with the county. ","unconstitutional, because in light of the clerical worker's particular employment duties his right to express himself on a matter of public concern outweighed any legitimate interest the state might have had in discharging him. ","constitutional, because the compelling interest of the state in having loyal and supportive employees outweighs the interest of any state employee in his or her job or in free speech on a matter of public concern. ","nonjusticiable, because public employment is a privilege rather than a right and, therefore, the clerical worker lacked standing to bring this suit. "
b,"Contracts, Uniform Commercial Code","A ski-shop operator, in a telephone conversation with a glove manufacturer, ordered 12 pairs of vortex-lined ski gloves at the manufacturer’s list price of $600 per dozen “for delivery in 30 days.” The manufacturer orally accepted the offer, and immediately faxed to operator this signed memo: “Confirming our agreement today for your purchase of a dozen pairs of vortex-lined ski gloves for $600, the shipment will be delivered in 30 days.” Although operator received and read manufacturer’s message within minutes after its dispatch, she changed her mind three weeks later about the purchase and rejected the conforming shipment when it timely arrived. On learning of the rejection, does manufacturer have a cause of action against the ski-shop operator for breach of contract?","Yes, because the gloves were identified to the contract and tendered to the ski-shop operator. ","Yes, because manufacturer’s faxed memo to the ski-shop operator was sufficient to make the agreement enforceable.","No, because the agreed price was $600 and the ski-shop operator never signed a writing evidencing a contract with manufacturer. ","No, because the ski-shop operator neither paid for nor accepted any of the goods tendered."
d,"Contracts, Common Law Contracts","A burglar stole a collector’s impressionist painting valued at $400,000. The collector, who had insured the painting for $300,000 with an insurance company, promised to pay $25,000 to a full-time investigator for the insurance company, if he effected the return of the painting to her in good condition. By company rules, the insurance company permits its investigators to accept and retain rewards from policyholders for the recovery of insured property. The investigator, by long and skillful detective work, recovered the picture and returned it undamaged to the collector. If the collector refuses to pay the investigator anything, and he sues her for $25,000, what is the probable result under the prevailing modern rule?","The collector wins, because the investigator owed the insurance company a preexisting duty to recover the picture if possible. ","The collector wins, because the insurance company, the investigator’s employer, had a preexisting duty to return the recovered painting to the collector. ","The investigator wins, because the collector will benefit more from return of the $400,000 painting than from receiving the $300,000 policy proceeds.","The investigator wins, because the preexisting duty rule does not apply if the promisee’s (the investigator’s) duty was owed to a third person."
d,Real PropertyEstates in Land,"Father owned a tract of land, in fee simple. By will duly admitted to probate after his death, Father devised the land to “any wife who survives me for life, with the remainder to such of my children as are living at her death.” Father was survived by his wife, and by three children. Thereafter, one child died and by will duly admitted to probate devised his entire estate to grandson. The remaining living children were the deceased child’s heirs at law. Later the wife died. In appropriate lawsuit to which the remaining living children and the grandson are parties, title to the land is at issue. In such lawsuit, judgment should be that title to the land is in","The remaining living children and the grandson, because the earliest vesting of remainders is favored and reference to the wife’s death should be construed as relating to time of taking possession. ","The remaining living children and the grandson, because the provision requiring survival of children violates the Rule Against Perpetuities since the surviving wife might have been a person unborn at the time of writing of the will. ","The remaining living children only, because the deceased child’s remainder must descend by intestacy and is not devisable.","The remaining living children only, because the remainders were contingent upon surviving the life tenant."
b,TortsDefamation/Invasion of Privacy,"Two law school classmates, a man and a woman, had competed for the position of editor of the law review. The man had the higher grade point average, but the woman was elected editor, largely in recognition of a long and important note that had appeared in the review over her name. During the following placement interview season, the man was interviewed by a representative of a nationally prominent law firm. In response to the interviewer's request for information about the authorship of the law review note, the man said that he had heard that the note attributed to the woman was largely the work of another student. The firm told the woman that it would not interview her because of doubts about the authorship of the note. This greatly distressed the woman. In fact the note had been prepared by the woman without assistance from anyone else. If the woman asserts a claim against the man based on defamation, the woman will","recover, because the man's statement was false.","recover, if the man had substantial doubts about the accuracy of the information he gave the interviewer.","not recover, unless the woman proves pecuniary loss.","not recover, because the statement was made by the man only after the interviewer inquired about the authorship of the note."
c,"Contracts, Uniform Commercial Code","A young woman who was a minor both in fact and appearance bought on credit and took delivery of a telescope from 30-year-old Seller for an agreed price of $100. Upon reaching her majority soon thereafter, the young woman encountered Seller and said, “I am sorry for not having paid you that $100 for the telescope when the money was due, but I found out it was only worth $75. So I now promise to pay you $75.” The young woman subsequently repudiated this promise and refused to pay Seller anything. In an action for breach of contract by Seller against the young woman, Seller’s probable recovery is","nothing, because the young woman was a minor at the time of the original transaction.","nothing, because there was no consideration for the promise made by the young woman after reaching majority.",75,100
b,Civil Procedure,"Before the close of evidence in a federal negligence trial, the defendant submitted a proposed jury instruction on contributory negligence. Before instructing the jury, the judge informed the parties of the instructions she would give, which did not include the defendant's contributory negligence instruction or any instruction on contributory negligence. Neither party objected, either then or after the judge had given the instructions. The jury returned a verdict for the plaintiff, and the judge entered judgment on the verdict. The defendant would like to appeal the verdict on the ground that the judge should have instructed the jury on contributory negligence. Has the defendant preserved the issue for appeal?","No, because the defendant failed to object after the judge gave the instructions to the jury. ","No, because the defendant failed to object after the judge informed the parties of the instructions she would give. ","Yes, because the defendant submitted a proposed instruction on contributory negligence.","Yes, because the judge's failure to give the defendant's contributory negligence instruction amounted to a ruling on the instruction. "
a,"Real Property, Title, Conveyancing, Recording","Two years ago, a developer conveyed title to a lot to a woman by warranty deed. The woman purchased an owner's policy of title insurance before the closing. Because of an error by the title insurance company, the title commitment and title policy failed to list a county tax lien encumbering the lot as an exception to coverage. Last year, the woman conveyed the lot for a bargain price by a quitclaim deed to a friend, who paid cash, did not conduct a title search, and did not purchase title insurance. Subsequently, the county began proceedings to foreclose the tax lien, and the friend filed a claim with the woman's title insurance company, demanding that the company reimburse her for the tax lien amount. Is the title insurance company obligated to pay the friend's claim?","No, because the friend is not a named insured on the title insurance policy.","No, because the title insurance policy expired when the woman conveyed the lot to the friend.","Yes, because the tax lien was not listed as an exception on the title insurance policy. ","Yes, because the woman is liable to the friend for breach of the covenant against encumbrances, and the title policy should cover the friend's potential loss. "
a,"Evidence, Hearsay","Plaintiff sued Defendant for an assault that occurred March 5 in California. To support his defense that he was in Utah on that date, Defendant identifies and seeks to introduce a letter he wrote to his sister a week before the assault in which he stated that he would see her in Utah on March 5. The letter is","admissible, within the state of mind exception to the hearsay rule. ","admissible, as a prior consistent statement to support Defendant's credibility as a witness. ","inadmissible, because it lacks sufficient probative value.","inadmissible, because it is a statement of belief to prove the fact believed."
c,"Constitutional Law, Individual Rights","A state law provides some funding for public schools on a per-student basis from general state revenues, which primarily come from the state income and sales taxes. The law also provides that all other public monies used to support public schools in the state come from locally levied real estate taxes. This results in a large disparity in per-student funding among the state's many public school districts because some districts have higher property values per student than other districts. Public school students who claim to be disadvantaged by this school funding law have challenged the law solely on the ground that it violates the Fourteenth Amendment's equal protection clause. Which of the following best states the burden of persuasion in this action?",The state must demonstrate that the law is necessary to vindicate a compelling state interest. ,The state must demonstrate that the law is rationally related to a legitimate state interest.,The students must demonstrate that the law is not rationally related to any legitimate state interest. ,The students must demonstrate that the law is not substantially related to an important state interest.
d,"Criminal Law & Procedure, Criminal Procedure","Defendant was prosecuted for selling cocaine to an undercover police agent. At his trial, he testified that he only sold the drugs to the agent, whom Defendant knew as “Speedy,” because Speedy had told him that he (Speedy) would be killed by fellow gang members unless he supplied them with cocaine. The prosecution did not cross-examine Defendant. As rebuttal evidence, however, the prosecutor introduced records, over Defendant’s objection, showing that Defendant had two prior convictions for narcotics-related offenses. The court instructed the jury concerning the defense of entrapment and added, also over Defendant’s objection but in accord with state law, that it should acquit on the ground of entrapment only if it found that Defendant had established the elements of the defense by a preponderance of the evidence. Defendant was convicted. On appeal, Defendant’s conviction should be","reversed, because it was an error for the court to admit the evidence of his prior convictions as substantive evidence.","reversed, because it was a violation of due process to impose on the defense a burden of persuasion concerning entrapment.","reversed, for both of the above reasons.","affirmed, because neither of the above reasons constitutes a ground for reversal."
d,"Torts, Negligence","A homeowner was injured when he slipped and fell in a puddle of water on his sunroom floor; the water had accumulated on the floor during a rainstorm because of leaks in the roof. The roof's manufacturer had supplied nondefective materials to the installer, who was a franchisee (and not an employee) of the manufacturer. The leaks resulted from the carelessness of the installer during the installation of the roof. The installer's truck, which had been parked in front of the homeowner's house during the roof installation, bore the manufacturer's logo. The manufacturer was aware that the truck and the literature supplied by the installer both displayed the manufacturer's logo. Is there any basis for a claim by the homeowner against the manufacturer?","No, because a franchisor has no duty to supervise the conduct of a franchisee. ","No, under the rule that a manufacturer is liable only for defects in a product that existed at the time the product left the hands of the manufacturer.","Yes, because the installer was a franchisee of the manufacturer.","Yes, under the rule of apparent agency."
